fecha,volumen_pronosticado,ic_inferior_90,ic_superior_90,contactos_hora,agentes_base,fte_requerido
2026-01-01,1645.950387251913,1177.594888717158,2114.305885786668,164.6,21,31
2026-01-02,1762.5305055580402,1294.080832771789,2230.980178344292,176.3,22,33
2026-01-03,1380.4442550715466,911.9047165488514,1848.983793594242,138.0,18,27
2026-01-04,1128.1942733727542,659.5689668007262,1596.8195799447822,112.8,15,23
2026-01-05,1979.0253056028791,1510.318317715016,2447.7322934907424,197.9,25,37
2026-01-06,2045.43897743224,1576.6539304293365,2514.2240244351437,204.5,25,37
2026-01-07,1877.1323503904744,1408.2727968674674,2345.991903913481,187.7,24,36
2026-01-08,1757.2329251068968,1284.0913359378906,2230.374514275903,175.7,22,33
2026-01-09,1792.3191939801509,1319.0903343257348,2265.548053634567,179.2,23,34
2026-01-10,1416.1103814422372,942.7982423840712,1889.4225205004032,141.6,19,28
2026-01-11,1161.2442610492817,687.8526352348242,1634.6358868637392,116.1,16,24
2026-01-12,1982.5007734134028,1509.033473862812,2455.9680729639936,198.3,25,37
2026-01-13,2061.381530995331,1587.8419033761384,2534.921158614524,206.1,26,39
2026-01-14,1901.3317488115688,1427.7230791997565,2374.9404184233813,190.1,24,36
2026-01-15,1790.7133173417396,1316.523314264267,2264.903320419213,179.1,23,34
2026-01-16,1816.993372113124,1342.735364197738,2291.25138002851,181.7,23,34
2026-01-17,1440.395527628748,966.0726219818145,1914.7184332756813,144.0,19,28
2026-01-18,1184.3269227184207,709.9420687339996,1658.711776702842,118.4,16,24
2026-01-19,2001.7904479023216,1527.3466416619624,2476.2342541426806,200.2,25,37
2026-01-20,2080.9334787430585,1606.4333172695358,2555.433640216581,208.1,26,39
2026-01-21,1920.7482707513373,1446.194307477578,2395.3022340250964,192.1,24,36
2026-01-22,1810.101844238008,1335.1786249373592,2285.0250635386574,181.0,23,34
2026-01-23,1834.621961265578,1359.6463228464384,2309.5975996847174,183.5,23,34
2026-01-24,1457.085623793295,982.0599592784304,1932.11128830816,145.7,19,28
2026-01-25,1200.0120691757236,724.9386468637063,1675.085491487741,120.0,16,24
2026-01-26,2016.2340431382584,1541.115195994474,2491.352890282043,201.6,25,37
2026-01-27,2094.5398683123267,1619.377590940146,2569.702145684508,209.5,26,39
2026-01-28,1933.4939214722424,1458.290175384629,2408.697667559856,193.3,24,36
2026-01-29,1822.0127822182144,1346.4866034639845,2297.538960972445,182.2,23,34
2026-01-30,1845.547971938471,1369.9811049897655,2321.1148388871766,184.6,23,34
2026-01-31,1467.1232469168576,991.5175479151548,1942.7289459185604,146.7,19,28
