fecha,volumen_contactos
2023-01-01,375
2023-01-02,1739
2023-01-03,1690
2023-01-04,1606
2023-01-05,1435
2023-01-06,1409
2023-01-07,1136
2023-01-08,861
2023-01-09,783
2023-01-10,1711
2023-01-11,1482
2023-01-12,1440
2023-01-13,1464
2023-01-14,966
2023-01-15,768
2023-01-16,1755
2023-01-17,1600
2023-01-18,1559
2023-01-19,1423
2023-01-20,1358
2023-01-21,1157
2023-01-22,838
2023-01-23,1827
2023-01-24,1577
2023-01-25,1503
2023-01-26,1508
2023-01-27,1385
2023-01-28,1104
2023-01-29,826
2023-01-30,1801
2023-01-31,1653
2023-02-01,1693
2023-02-02,1502
2023-02-03,1395
2023-02-04,1130
2023-02-05,800
2023-02-06,1848
2023-02-07,1538
2023-02-08,1446
2023-02-09,1517
2023-02-10,1525
2023-02-11,1093
2023-02-12,846
2023-02-13,1798
2023-02-14,1575
2023-02-15,1490
2023-02-16,1464
2023-02-17,1544
2023-02-18,1099
2023-02-19,774
2023-02-20,1849
2023-02-21,1662
2023-02-22,1488
2023-02-23,1539
2023-02-24,1537
2023-02-25,1126
2023-02-26,810
2023-02-27,1784
2023-02-28,1716
2023-03-01,1609
2023-03-02,1451
2023-03-03,1442
2023-03-04,1013
2023-03-05,792
2023-03-06,1879
2023-03-07,1797
2023-03-08,1524
2023-03-09,1557
2023-03-10,1478
2023-03-11,1035
2023-03-12,855
2023-03-13,1940
2023-03-14,1676
2023-03-15,1646
2023-03-16,1287
2023-03-17,1510
2023-03-18,1073
2023-03-19,827
2023-03-20,815
2023-03-21,1513
2023-03-22,1511
2023-03-23,1509
2023-03-24,1560
2023-03-25,1043
2023-03-26,808
2023-03-27,1762
2023-03-28,1763
2023-03-29,1559
2023-03-30,1449
2023-03-31,1496
2023-04-01,1081
2023-04-02,887
2023-04-03,1754
2023-04-04,1668
2023-04-05,1513
2023-04-06,625
2023-04-07,671
2023-04-08,1099
2023-04-09,854
2023-04-10,1812
2023-04-11,1590
2023-04-12,1526
2023-04-13,1488
2023-04-14,1426
2023-04-15,1087
2023-04-16,880
2023-04-17,2029
2023-04-18,1747
2023-04-19,1598
2023-04-20,1527
2023-04-21,1360
2023-04-22,1109
2023-04-23,877
2023-04-24,2111
2023-04-25,1739
2023-04-26,1623
2023-04-27,1552
2023-04-28,1437
2023-04-29,1191
2023-04-30,920
2023-05-01,892
2023-05-02,1701
2023-05-03,1737
2023-05-04,1467
2023-05-05,1594
2023-05-06,1269
2023-05-07,856
2023-05-08,1881
2023-05-09,1818
2023-05-10,1606
2023-05-11,1477
2023-05-12,1577
